dataset,run,reader,K,rotation,negative_type,request_tokens_total,request_tokens_mean,response_tokens_total,response_tokens_mean
e2ewtq,2nd,gpt-4o,30,end,soft,3897730,16308.49,33273,139.22
e2ewtq,2nd,gpt-4o,30,middle,hard,3971612,16617.62,64405,269.48
e2ewtq,2nd,gpt-4o,30,middle,soft,3897730,16308.49,43404,181.61
e2ewtq,2nd,gpt-4o,30,start,hard,3971612,16617.62,51763,216.58
e2ewtq,2nd,gpt-4o,30,start,soft,3897730,16308.49,32217,134.80
e2ewtq,2nd,gpt-4o,40,end,hard,5284449,22110.67,63984,267.72
e2ewtq,2nd,gpt-4o,40,end,soft,5195074,21736.71,39015,163.24
e2ewtq,2nd,gpt-4o,40,middle,hard,5284449,22110.67,62349,260.87
e2ewtq,2nd,gpt-4o,40,middle,soft,5195074,21736.71,41030,171.67
e2ewtq,2nd,gpt-4o,40,start,hard,5284449,22110.67,53947,225.72
e2ewtq,2nd,gpt-4o,40,start,soft,5195074,21736.71,32454,135.79
e2ewtq,2nd,gpt-4o,50,end,hard,6598706,27609.65,57449,240.37
e2ewtq,2nd,gpt-4o,50,end,soft,6490658,27157.56,34454,144.16
e2ewtq,2nd,gpt-4o,50,middle,hard,6598706,27609.65,63062,263.86
e2ewtq,2nd,gpt-4o,50,middle,soft,6490658,27157.56,43453,181.81
e2ewtq,2nd,gpt-4o,50,start,hard,6598706,27609.65,51399,215.06
e2ewtq,2nd,gpt-4o,50,start,soft,6490658,27157.56,32332,135.28
e2ewtq,2nd,gpt-oss-20b,1,perfect,perfect,158073,661.39,194909,815.52
e2ewtq,2nd,gpt-oss-20b,5,end,hard,686560,2872.64,113595,475.29
e2ewtq,2nd,gpt-oss-20b,5,end,soft,673128,2816.44,76474,319.97
e2ewtq,2nd,gpt-oss-20b,5,middle,hard,686560,2872.64,117757,492.71
e2ewtq,2nd,gpt-oss-20b,5,middle,soft,673128,2816.44,82417,344.84
e2ewtq,2nd,gpt-oss-20b,5,start,hard,686560,2872.64,107958,451.71
e2ewtq,2nd,gpt-oss-20b,5,start,soft,673128,2816.44,90394,378.22
e2ewtq,2nd,gpt-oss-20b,10,end,hard,1345508,5629.74,114370,478.54
e2ewtq,2nd,gpt-oss-20b,10,end,soft,1316067,5506.56,80721,337.74
e2ewtq,2nd,gpt-oss-20b,10,middle,hard,1345508,5629.74,116752,488.50
e2ewtq,2nd,gpt-oss-20b,10,middle,soft,1316067,5506.56,83363,348.80
e2ewtq,2nd,gpt-oss-20b,10,start,hard,1345508,5629.74,96360,403.18
e2ewtq,2nd,gpt-oss-20b,10,start,soft,1316067,5506.56,76635,320.65
e2ewtq,2nd,gpt-oss-20b,20,end,hard,2674597,11190.78,134092,561.05
e2ewtq,2nd,gpt-oss-20b,20,end,soft,2617868,10953.42,92658,387.69
e2ewtq,2nd,gpt-oss-20b,20,middle,hard,2674597,11190.78,139057,581.83
e2ewtq,2nd,gpt-oss-20b,20,middle,soft,2617868,10953.42,98824,413.49
e2ewtq,2nd,gpt-oss-20b,20,start,hard,2674597,11190.78,117060,489.79
e2ewtq,2nd,gpt-oss-20b,20,start,soft,2617859,10953.38,76473,319.97
e2ewtq,2nd,gpt-oss-20b,30,end,hard,3989251,16691.43,145757,609.86
e2ewtq,2nd,gpt-oss-20b,30,end,soft,3915439,16382.59,110201,461.09
e2ewtq,2nd,gpt-oss-20b,30,middle,hard,3989251,16691.43,152537,638.23
e2ewtq,2nd,gpt-oss-20b,30,middle,soft,3915439,16382.59,105879,443.01
e2ewtq,2nd,gpt-oss-20b,30,start,hard,3989251,16691.43,116064,485.62
e2ewtq,2nd,gpt-oss-20b,30,start,soft,3915439,16382.59,84862,355.07
e2ewtq,2nd,gpt-oss-20b,40,end,hard,5298789,22170.67,41750,174.69
e2ewtq,2nd,gpt-oss-20b,40,end,soft,5209414,21796.71,43895,183.66
e2ewtq,2nd,gpt-oss-20b,40,middle,hard,5298789,22170.67,43938,183.84
e2ewtq,2nd,gpt-oss-20b,40,middle,soft,5209414,21796.71,35421,148.21
e2ewtq,2nd,gpt-oss-20b,40,start,hard,5302854,22187.67,128548,537.86
e2ewtq,2nd,gpt-oss-20b,40,start,soft,5213350,21813.18,82044,343.28
e2ewtq,2nd,gpt-oss-20b,50,end,hard,6613046,27669.65,64547,270.07
e2ewtq,2nd,gpt-oss-20b,50,end,soft,6504998,27217.56,58450,244.56
e2ewtq,2nd,gpt-oss-20b,50,middle,hard,6613046,27669.65,53037,221.91
e2ewtq,2nd,gpt-oss-20b,50,middle,soft,6504998,27217.56,45072,188.59
e2ewtq,2nd,gpt-oss-20b,50,start,hard,6613046,27669.65,41266,172.66
e2ewtq,2nd,gpt-oss-20b,50,start,soft,6504998,27217.56,32925,137.76
e2ewtq,2nd,qwen3-32b,1,perfect,perfect,156203,653.57,125259,524.10
e2ewtq,2nd,qwen3-32b,5,end,hard,736849,3083.05,218086,912.49
e2ewtq,2nd,qwen3-32b,5,end,soft,729099,3050.62,151175,632.53
e2ewtq,2nd,qwen3-32b,5,middle,hard,736849,3083.05,211533,885.08
e2ewtq,2nd,qwen3-32b,5,middle,soft,729099,3050.62,166509,696.69
e2ewtq,2nd,qwen3-32b,5,start,hard,736849,3083.05,187433,784.24
e2ewtq,2nd,qwen3-32b,5,start,soft,729099,3050.62,167476,700.74
e2ewtq,2nd,qwen3-32b,10,end,hard,1462825,6120.61,269810,1128.91
e2ewtq,2nd,qwen3-32b,10,end,soft,1445254,6047.09,165830,693.85
e2ewtq,2nd,qwen3-32b,10,middle,hard,1462824,6120.60,292156,1222.41
e2ewtq,2nd,qwen3-32b,10,middle,soft,1445254,6047.09,181162,758.00
e2ewtq,2nd,qwen3-32b,10,start,hard,1462824,6120.60,251339,1051.63
e2ewtq,2nd,qwen3-32b,10,start,soft,1445254,6047.09,174624,730.64
e2ewtq,2nd,qwen3-32b,20,end,hard,2926779,12245.94,286707,1199.61
e2ewtq,2nd,qwen3-32b,20,end,soft,2894401,12110.46,174620,730.63
e2ewtq,2nd,qwen3-32b,20,middle,hard,2926779,12245.94,303595,1270.27
e2ewtq,2nd,qwen3-32b,20,middle,soft,2894401,12110.46,189680,793.64
e2ewtq,2nd,qwen3-32b,20,start,hard,2926779,12245.94,273370,1143.81
e2ewtq,2nd,qwen3-32b,20,start,soft,2894401,12110.46,160782,672.73
e2ewtq,2nd,qwen3-32b,30,end,hard,4373142,18297.67,246518,1031.46
e2ewtq,2nd,qwen3-32b,30,end,soft,4343112,18172.02,182099,761.92
e2ewtq,2nd,qwen3-32b,30,middle,hard,4373142,18297.67,273243,1143.28
e2ewtq,2nd,qwen3-32b,30,middle,soft,4343113,18172.02,199428,834.43
e2ewtq,2nd,qwen3-32b,30,start,hard,4373142,18297.67,259131,1084.23
e2ewtq,2nd,qwen3-32b,30,start,soft,4343112,18172.02,160813,672.86
e2ewtq,2nd,qwen3-32b,40,end,hard,5819280,24348.45,197753,827.42
e2ewtq,2nd,qwen3-32b,40,end,soft,5793111,24238.96,149618,626.02
e2ewtq,2nd,qwen3-32b,40,middle,hard,5819259,24348.36,210229,879.62
e2ewtq,2nd,qwen3-32b,40,middle,soft,5793094,24238.89,165145,690.98
e2ewtq,2nd,qwen3-32b,40,start,hard,5816958,24338.74,248892,1041.39
e2ewtq,2nd,qwen3-32b,40,start,soft,5793094,24238.89,140249,586.82
e2ewtq,2nd,qwen3-32b,50,end,hard,7265457,30399.40,189406,792.49
e2ewtq,2nd,qwen3-32b,50,end,soft,7234959,30271.79,151626,634.42
e2ewtq,2nd,qwen3-32b,50,middle,hard,7265457,30399.40,229362,959.67
e2ewtq,2nd,qwen3-32b,50,middle,soft,7234960,30271.80,156677,655.55
e2ewtq,2nd,qwen3-32b,50,start,hard,7265457,30399.40,168504,705.04
e2ewtq,2nd,qwen3-32b,50,start,soft,7234959,30271.79,125919,526.86
e2ewtq,3rd,claude-haiku-4-5,1,perfect,perfect,117398,491.21,55362,231.64
e2ewtq,3rd,claude-haiku-4-5,5,end,hard,594356,2486.85,31977,133.79
e2ewtq,3rd,claude-haiku-4-5,5,end,soft,551750,2308.58,29238,122.33
e2ewtq,3rd,claude-haiku-4-5,5,middle,hard,594356,2486.85,32348,135.35
e2ewtq,3rd,claude-haiku-4-5,5,middle,soft,551750,2308.58,30678,128.36
e2ewtq,3rd,claude-haiku-4-5,5,start,hard,594356,2486.85,29360,122.85
e2ewtq,3rd,claude-haiku-4-5,5,start,soft,551750,2308.58,28128,117.69
e2ewtq,3rd,claude-haiku-4-5,10,end,hard,1181814,4944.83,34728,145.31
e2ewtq,3rd,claude-haiku-4-5,10,end,soft,1093211,4574.10,33667,140.87
e2ewtq,3rd,claude-haiku-4-5,10,middle,hard,1181814,4944.83,34390,143.89
e2ewtq,3rd,claude-haiku-4-5,10,middle,soft,1093211,4574.10,33615,140.65
e2ewtq,3rd,claude-haiku-4-5,10,start,hard,1181814,4944.83,31749,132.84
e2ewtq,3rd,claude-haiku-4-5,10,start,soft,1093211,4574.10,28440,119.00
e2ewtq,3rd,claude-haiku-4-5,20,end,hard,2363029,9887.15,38610,161.55
e2ewtq,3rd,claude-haiku-4-5,20,end,soft,2188326,9156.18,36206,151.49
e2ewtq,3rd,claude-haiku-4-5,20,middle,hard,2363029,9887.15,38225,159.94
e2ewtq,3rd,claude-haiku-4-5,20,middle,soft,2188326,9156.18,38248,160.03
e2ewtq,3rd,claude-haiku-4-5,20,start,hard,2363029,9887.15,33931,141.97
e2ewtq,3rd,claude-haiku-4-5,20,start,soft,2188326,9156.18,30865,129.14
e2ewtq,3rd,claude-haiku-4-5,30,end,hard,3524714,14747.76,39425,164.96
e2ewtq,3rd,claude-haiku-4-5,30,end,soft,3280104,13724.28,36307,151.91
e2ewtq,3rd,claude-haiku-4-5,30,middle,hard,3524714,14747.76,39008,163.21
e2ewtq,3rd,claude-haiku-4-5,30,middle,soft,3280104,13724.28,38014,159.05
e2ewtq,3rd,claude-haiku-4-5,30,start,hard,3524714,14747.76,34356,143.75
