dataset,reader,K,condition,score_display,std_display,nrr_display,source,provenance_class
OTTQA,qwen3-32b,1,hard,0.349,0.006,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,1,soft,0.349,0.006,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,1,bge_m3,0.325,0.005,1.000,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,5,hard,0.356,0.039,1.019,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,5,soft,0.360,0.045,1.030,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,5,bge_m3,0.326,0.041,1.003,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,10,hard,0.377,0.071,1.080,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,10,soft,0.343,0.007,0.982,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,10,bge_m3,0.337,0.049,1.036,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,20,hard,0.370,0.072,1.059,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,20,soft,0.367,0.073,1.051,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,20,bge_m3,0.336,0.054,1.032,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,30,hard,0.360,0.055,1.030,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,30,soft,0.285,0.079,0.817,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,30,bge_m3,0.337,0.051,1.035,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,40,hard,0.340,0.023,0.973,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,40,soft,0.271,0.100,0.776,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,40,bge_m3,0.332,0.024,1.019,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,50,hard,0.330,0.013,0.946,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,50,soft,0.281,0.076,0.804,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
OTTQA,qwen3-32b,50,bge_m3,0.319,0.013,0.981,final camera-ready manuscript,CAMERA_READY_PAPER_FACING
